sample_id	image_path	Sampling_Date	State	Species	Pre_GSHH_NDVI	Height_Ave_cm	target_name	target
ID1139918758__Dry_Green_g	train/ID1139918758.jpg	8/21/2015	WA	Clover	0.79	3	Dry_Green_g	0
ID1139918758__Dry_Total_g	train/ID1139918758.jpg	8/21/2015	WA	Clover	0.79	3	Dry_Total_g	58.34
ID1139918758__GDM_g	train/ID1139918758.jpg	8/21/2015	WA	Clover	0.79	3	GDM_g	58.34
ID1140993511__Dry_Clover_g	train/ID1140993511.jpg	8/14/2015	Vic	Ryegrass_Clover	0.71	2	Dry_Clover_g	4.6
ID1140993511__Dry_Dead_g	train/ID1140993511.jpg	8/14/2015	Vic	Ryegrass_Clover	0.71	2	Dry_Dead_g	2.3
ID1140993511__Dry_Green_g	train/ID1140993511.jpg	8/14/2015	Vic	Ryegrass_Clover	0.71	2	Dry_Green_g	16.1
ID1140993511__Dry_Total_g	train/ID1140993511.jpg	8/14/2015	Vic	Ryegrass_Clover	0.71	2	Dry_Total_g	23
ID1140993511__GDM_g	train/ID1140993511.jpg	8/14/2015	Vic	Ryegrass_Clover	0.71	2	GDM_g	20.7
ID1148528732__Dry_Clover_g	train/ID1148528732.jpg	8/18/2015	Vic	Phalaris_Clover	0.86	3.2	Dry_Clover_g	12.4113
ID1148528732__Dry_Dead_g	train/ID1148528732.jpg	8/18/2015	Vic	Phalaris_Clover	0.86	3.2	Dry_Dead_g	0
ID1148528732__Dry_Green_g	train/ID1148528732.jpg	8/18/2015	Vic	Phalaris_Clover	0.86	3.2	Dry_Green_g	28.0887
ID1148528732__Dry_Total_g	train/ID1148528732.jpg	8/18/2015	Vic	Phalaris_Clover	0.86	3.2	Dry_Total_g	40.5
ID1148528732__GDM_g	train/ID1148528732.jpg	8/18/2015	Vic	Phalaris_Clover	0.86	3.2	GDM_g	40.5
ID1148666289__Dry_Clover_g	train/ID1148666289.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.81	3.5	Dry_Clover_g	4.0923
ID1148666289__Dry_Dead_g	train/ID1148666289.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.81	3.5	Dry_Dead_g	14.3231
ID1148666289__Dry_Green_g	train/ID1148666289.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.81	3.5	Dry_Green_g	21.4846
ID1148666289__Dry_Total_g	train/ID1148666289.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.81	3.5	Dry_Total_g	39.9
ID1148666289__GDM_g	train/ID1148666289.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.81	3.5	GDM_g	25.5769
ID1149598723__Dry_Clover_g	train/ID1149598723.jpg	5/7/2015	NSW	Lucerne	0.87	43	Dry_Clover_g	0
ID1149598723__Dry_Dead_g	train/ID1149598723.jpg	5/7/2015	NSW	Lucerne	0.87	43	Dry_Dead_g	5.3831
ID1149598723__Dry_Green_g	train/ID1149598723.jpg	5/7/2015	NSW	Lucerne	0.87	43	Dry_Green_g	58.3169
ID1149598723__Dry_Total_g	train/ID1149598723.jpg	5/7/2015	NSW	Lucerne	0.87	43	Dry_Total_g	63.7
ID1149598723__GDM_g	train/ID1149598723.jpg	5/7/2015	NSW	Lucerne	0.87	43	GDM_g	58.3169
ID1159071020__Dry_Clover_g	train/ID1159071020.jpg	9/30/2015	Vic	Phalaris_Clover	0.74	7	Dry_Clover_g	1.3191
ID1159071020__Dry_Dead_g	train/ID1159071020.jpg	9/30/2015	Vic	Phalaris_Clover	0.74	7	Dry_Dead_g	6.7982
ID1159071020__Dry_Green_g	train/ID1159071020.jpg	9/30/2015	Vic	Phalaris_Clover	0.74	7	Dry_Green_g	46.5727
ID1159071020__Dry_Total_g	train/ID1159071020.jpg	9/30/2015	Vic	Phalaris_Clover	0.74	7	Dry_Total_g	54.69
ID1159071020__GDM_g	train/ID1159071020.jpg	9/30/2015	Vic	Phalaris_Clover	0.74	7	GDM_g	47.8918
ID1163061745__Dry_Clover_g	train/ID1163061745.jpg	6/29/2015	Tas	WhiteClover	0.5	2	Dry_Clover_g	5.2
ID1163061745__Dry_Dead_g	train/ID1163061745.jpg	6/29/2015	Tas	WhiteClover	0.5	2	Dry_Dead_g	6.7
ID1163061745__Dry_Green_g	train/ID1163061745.jpg	6/29/2015	Tas	WhiteClover	0.5	2	Dry_Green_g	1.2
ID1163061745__Dry_Total_g	train/ID1163061745.jpg	6/29/2015	Tas	WhiteClover	0.5	2	Dry_Total_g	13.1
ID1163061745__GDM_g	train/ID1163061745.jpg	6/29/2015	Tas	WhiteClover	0.5	2	GDM_g	6.4
ID1168534540__Dry_Clover_g	train/ID1168534540.jpg	5/7/2015	NSW	Fescue	0.86	9	Dry_Clover_g	0
ID1168534540__Dry_Dead_g	train/ID1168534540.jpg	5/7/2015	NSW	Fescue	0.86	9	Dry_Dead_g	8.6892
ID1168534540__Dry_Green_g	train/ID1168534540.jpg	5/7/2015	NSW	Fescue	0.86	9	Dry_Green_g	55.6108
ID1168534540__Dry_Total_g	train/ID1168534540.jpg	5/7/2015	NSW	Fescue	0.86	9	Dry_Total_g	64.3
ID1168534540__GDM_g	train/ID1168534540.jpg	5/7/2015	NSW	Fescue	0.86	9	GDM_g	55.6108
ID1176292407__Dry_Clover_g	train/ID1176292407.jpg	6/26/2015	Tas	Ryegrass_Clover	0.5	3	Dry_Clover_g	0.1308
ID1176292407__Dry_Dead_g	train/ID1176292407.jpg	6/26/2015	Tas	Ryegrass_Clover	0.5	3	Dry_Dead_g	16.7365
ID1176292407__Dry_Green_g	train/ID1176292407.jpg	6/26/2015	Tas	Ryegrass_Clover	0.5	3	Dry_Green_g	9.022
ID1176292407__Dry_Total_g	train/ID1176292407.jpg	6/26/2015	Tas	Ryegrass_Clover	0.5	3	Dry_Total_g	25.8893
ID1176292407__GDM_g	train/ID1176292407.jpg	6/26/2015	Tas	Ryegrass_Clover	0.5	3	GDM_g	9.1528
ID1182523622__Dry_Clover_g	train/ID1182523622.jpg	6/29/2015	Tas	WhiteClover	0.48	2	Dry_Clover_g	3.1059
ID1182523622__Dry_Dead_g	train/ID1182523622.jpg	6/29/2015	Tas	WhiteClover	0.48	2	Dry_Dead_g	14.7193
ID1182523622__Dry_Green_g	train/ID1182523622.jpg	6/29/2015	Tas	WhiteClover	0.48	2	Dry_Green_g	0.6752
ID1182523622__Dry_Total_g	train/ID1182523622.jpg	6/29/2015	Tas	WhiteClover	0.48	2	Dry_Total_g	18.5004
ID1182523622__GDM_g	train/ID1182523622.jpg	6/29/2015	Tas	WhiteClover	0.48	2	GDM_g	3.7811
ID1183807388__Dry_Clover_g	train/ID1183807388.jpg	7/1/2015	Tas	Ryegrass	0.7	5	Dry_Clover_g	0
ID1183807388__Dry_Dead_g	train/ID1183807388.jpg	7/1/2015	Tas	Ryegrass	0.7	5	Dry_Dead_g	20.9156
